,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,mahebourg,-20.4081,57.7,83.25,78,75,17.27,MU,1649926110
91,sao gabriel da cachoeira,-0.1303,-67.0892,72.68,100,100,1.45,BR,1649926110
92,bathsheba,13.2167,-59.5167,77.61,78,20,17.27,BB,1649926111
93,puerto el triunfo,13.2833,-88.55,79.3,77,81,2.95,SV,1649926111
94,hermanus,-34.4187,19.2345,59.81,81,100,9.19,ZA,1649925917
95,susner,23.95,76.0833,104.61,6,0,11.07,IN,1649926111
96,hofn,64.2539,-15.2082,45.05,96,100,15.46,IS,1649926111
97,san policarpo,12.1791,125.5072,80.31,81,70,5.57,PH,1649926112
98,santiago,-33.4569,-70.6483,61.18,36,0,2.3,CL,1649926112
99,airai,-8.9266,125.4092,65.23,94,86,2.48,TL,1649926112
100,bogande,12.9714,-0.1436,92.8,36,87,16.73,BF,1649926112
101,igarka,67.4667,86.5833,32.18,94,100,2.48,RU,1649926112
102,vardo,70.3705,31.1107,31.98,74,0,6.91,NO,1649926112
103,jieshi,22.8134,115.8257,86.95,68,10,9.73,CN,1649926112
104,meulaboh,4.1363,96.1285,85.8,66,89,7.47,ID,1649926112
105,ribeira grande,38.5167,-28.7,61.2,67,20,17.27,PT,1649926113
106,luderitz,-26.6481,15.1594,68.25,59,5,13.13,NA,1649926023
107,puerto ayora,-0.7393,-90.3518,75.38,91,71,6.98,EC,1649926113
108,bairiki,1.3292,172.9752,80.6,83,20,8.05,KI,1649926113
109,alpena,45.0617,-83.4327,48.52,96,100,8.01,US,1649926113
110,kaeo,-35.1,173.7833,56.32,82,58,7.02,NZ,1649926113
111,sinnamary,5.3833,-52.95,76.87,88,91,12.39,GF,1649926113
112,ponta do sol,32.6667,-17.1,64.71,81,0,2.55,PT,1649926113
113,novyy urengoy,66.0833,76.6333,33.04,100,100,9.86,RU,1649925866
114,mikuni,36.2171,136.1519,53.51,96,100,8.1,JP,1649926114
115,inhambane,-23.865,35.3833,87.78,66,40,11.5,MZ,1649926114
116,zhangjiakou,40.81,114.8794,53.19,19,1,17.13,CN,1649926114
117,taft,31.7471,54.2088,84.15,10,44,4.61,IR,1649926114
118,nikolskoye,59.7035,30.7861,46.87,59,100,5.37,RU,1649926115
119,harper,4.375,-7.7169,82.71,79,88,9.6,LR,1649926115
120,college,64.8569,-147.8028,32.2,71,20,0.0,US,1649926115
121,richards bay,-28.783,32.0377,79.65,60,1,6.04,ZA,1649926115
122,plettenberg bay,-34.0527,23.3716,67.6,77,95,8.32,ZA,1649926115
123,suba,10.8438,121.0102,82.15,72,100,5.64,PH,1649926115
124,anshun,26.25,105.9333,63.19,87,99,10.58,CN,1649926115
125,abu dhabi,24.4667,54.3667,107.71,52,70,5.82,AE,1649926116
126,palauig,15.435,119.9045,83.66,67,88,10.31,PH,1649926116
127,porto novo,6.4965,2.6036,84.02,63,100,7.9,BJ,1649926116
128,calama,-22.4667,-68.9333,41.49,15,0,16.11,CL,1649925916
129,zaranj,30.9667,61.8833,100.36,5,1,1.97,AF,1649926116
130,athabasca,54.7169,-113.2854,12.61,92,100,6.38,CA,1649926116
131,pilar,-9.5972,-35.9567,71.53,88,9,3.42,BR,1649926116
132,sistranda,63.7256,8.834,42.76,75,43,13.73,NO,1649926117
133,port hedland,-20.3167,118.5667,93.25,43,30,9.22,AU,1649926117
134,westport,41.1415,-73.3579,59.31,92,0,3.44,US,1649926117
135,itarema,-2.9248,-39.9167,76.01,89,100,3.53,BR,1649926117
136,hadrut,39.52,47.0318,52.61,56,56,6.85,AZ,1649926117
137,alice,27.7523,-98.0697,71.49,88,20,9.22,US,1649926117
138,novovasylivka,46.8315,35.7536,55.36,74,100,14.85,UA,1649926117
139,georgetown,5.4112,100.3354,89.53,73,20,5.75,MY,1649926118
140,hobart,-42.8794,147.3294,63.01,68,75,0.0,AU,1649925834
141,bom conselho,-9.1697,-36.6797,68.05,87,69,4.18,BR,1649926118
142,thompson,55.7435,-97.8558,3.36,72,100,17.27,CA,1649926118
143,linjiang,41.8069,126.9078,55.58,40,73,6.46,CN,1649926118
144,chokurdakh,70.6333,147.9167,-4.14,92,16,7.83,RU,1649925921
145,talnakh,69.4865,88.3972,31.21,83,100,4.23,RU,1649926118
146,bredasdorp,-34.5322,20.0403,63.34,75,100,7.45,ZA,1649926118
147,energetik,51.7445,58.7934,70.41,43,2,19.75,RU,1649926119
148,longyearbyen,78.2186,15.6401,17.44,79,40,10.36,SJ,1649926119
149,vila franca do campo,37.7167,-25.4333,55.81,72,7,4.34,PT,1649926119
150,nhulunbuy,-12.2333,136.7667,79.41,94,98,4.61,AU,1649926119
151,kahului,20.8947,-156.47,73.85,74,0,13.0,US,1649926119
152,ambon,-3.6954,128.1814,82.54,83,40,3.44,ID,1649926119
153,biak,-0.9131,122.8766,81.05,76,98,2.8,ID,1649926119
154,pokhara,28.2333,83.9833,90.95,14,88,3.89,NP,1649926120
155,peniche,39.3558,-9.3811,60.08,86,11,14.45,PT,1649926120
156,belgrade,44.804,20.4651,61.34,33,0,2.3,RS,1649926106
157,puerto escondido,15.85,-97.0667,79.47,77,93,6.15,MX,1649926120
158,fortuna,40.5982,-124.1573,46.74,95,75,8.05,US,1649926120
159,chara,56.9064,118.2631,31.08,80,100,2.33,RU,1649926120
160,labuhan,-6.8844,112.2051,84.56,67,66,8.43,ID,1649926120
161,nouadhibou,20.931,-17.0347,62.58,88,0,23.02,MR,1649926121
162,cerrito,6.8432,-72.694,51.37,87,100,6.51,CO,1649926121
163,avarua,-21.2078,-159.775,77.05,94,20,1.14,CK,1649926121
164,morros,-9.4467,-46.3003,69.71,93,34,2.15,BR,1649926121
165,florence,43.7667,11.25,71.58,38,0,4.0,IT,1649926094
166,mosquera,4.7059,-74.2302,42.89,100,34,3.44,CO,1649926122
167,acapulco,16.8634,-99.8901,76.82,83,40,4.61,MX,1649925962
168,waipawa,-41.4122,175.5153,44.28,82,58,0.43,NZ,1649926122
169,kaseda,31.4167,130.3167,70.07,87,100,3.6,JP,1649926122
170,ketchikan,55.3422,-131.6461,37.38,54,40,4.5,US,1649926122
171,ancud,-41.8697,-73.8203,47.53,91,74,5.44,CL,1649926122
172,viedma,-40.8135,-62.9967,51.51,57,0,6.69,AR,1649925833
173,saint-pierre,-21.3393,55.4781,84.29,76,20,25.32,RE,1649926122
174,touros,-5.1989,-35.4608,76.84,85,98,3.44,BR,1649926122
175,ullal,12.8,74.85,86.95,66,75,5.75,IN,1649926123
176,narsaq,60.9167,-46.05,35.82,69,82,1.21,GL,1649926123
177,ekibastuz,51.6667,75.3667,62.17,22,51,10.09,KZ,1649926116
178,muros,42.7762,-9.0603,65.16,89,100,0.76,ES,1649926123
179,leningradskiy,69.3833,178.4167,5.88,96,100,12.17,RU,1649926123
180,qaracala,39.8132,48.9523,66.13,20,6,13.98,AZ,1649926123
181,bedesa,8.9,40.7833,74.34,47,93,9.51,ET,1649926123
182,naryan-mar,67.6713,53.087,29.23,98,100,18.41,RU,1649926123
183,souillac,-20.5167,57.5167,82.78,78,75,17.27,MU,1649926123
184,kirensk,57.7853,108.1119,37.67,82,100,15.37,RU,1649926124
185,fairbanks,64.8378,-147.7164,32.22,71,0,0.0,US,1649926124
186,anuradhapura,8.3565,80.4173,89.89,59,85,9.06,LK,1649926124
187,chuy,-33.6971,-53.4616,48.99,72,0,6.98,UY,1649926124
188,mercedes,-34.6515,-59.4307,44.78,76,0,6.46,AR,1649926124
189,san vicente,-26.6167,-54.1333,56.25,94,55,5.37,AR,1649926037
190,kuching,1.55,110.3333,89.82,70,40,5.99,MY,1649926124
191,pisco,-13.7,-76.2167,62.65,88,0,8.05,PE,1649926124
192,kalmar,56.6616,16.3616,50.14,94,100,3.44,SE,1649926125
193,chitrakonda,18.1167,82.0833,100.51,21,99,6.51,IN,1649926125
194,bolu,40.6667,31.5833,48.83,46,20,7.09,TR,1649926125
195,tsaratanana,-16.7833,47.65,86.49,47,5,13.67,MG,1649926125
196,mogadishu,2.0371,45.3438,89.47,70,40,9.22,SO,1649926105
197,lethem,3.3803,-59.7968,74.57,82,51,10.2,GY,1649926125
198,iwanai,42.9744,140.5089,41.85,76,100,3.96,JP,1649926125
199,broken hill,-31.95,141.4333,76.71,20,95,9.22,AU,1649926125
200,ambikapur,23.1167,83.2,100.85,13,95,12.86,IN,1649926126
201,cabo san lucas,22.8909,-109.9124,69.51,66,15,5.01,MX,1649926126
202,tam ky,15.5667,108.4833,81.59,79,11,5.53,VN,1649926126
203,champerico,14.3,-91.9167,81.73,71,38,6.55,GT,1649926126
204,malaga,36.7202,-4.4203,69.17,55,0,13.8,ES,1649926081
205,karabulak,43.3036,44.8964,50.99,49,40,8.05,RU,1649926126
206,hasaki,35.7333,140.8333,50.4,90,100,24.56,JP,1649926126
207,vostok,46.4856,135.8833,34.83,77,90,6.62,RU,1649926126
208,mandera,3.9366,41.867,94.32,41,76,7.31,KE,1649926126
209,cidreira,-30.1811,-50.2056,65.08,67,100,12.88,BR,1649926127
210,stanghelle,60.5528,5.7357,49.91,91,100,2.13,NO,1649926127
211,ola,59.5833,151.2833,28.15,77,100,4.83,RU,1649926127
212,umm kaddadah,13.6017,26.6876,94.91,6,13,22.64,SD,1649926127
213,hohhot,40.8106,111.6522,55.69,14,0,15.66,CN,1649926127
214,avera,33.194,-82.5271,66.25,86,100,7.11,US,1649926127
215,chipinge,-20.1883,32.6236,80.06,49,86,1.12,ZW,1649926127
216,iqaluit,63.7506,-68.5145,-11.47,70,0,10.36,CA,1649926128
217,pevek,69.7008,170.3133,7.83,90,100,3.83,RU,1649926080
218,san jose,37.3394,-121.895,54.39,63,100,5.75,US,1649926128
219,ilulissat,69.2167,-51.1,15.82,73,40,17.27,GL,1649926128
220,kashi,39.4547,75.9797,76.21,16,40,4.47,CN,1649926128
221,knysna,-34.0363,23.0471,67.39,80,98,6.98,ZA,1649926128
222,baruun-urt,46.6806,113.2792,44.51,17,100,13.02,MN,1649926128
223,storforshei,66.4043,14.5233,46.18,42,0,0.0,NO,1649926128
224,altay,47.8667,88.1167,41.47,27,0,17.31,CN,1649926129
225,gusau,12.1628,6.6614,90.57,41,71,13.71,NG,1649926129
226,sayyan,15.1718,44.3244,74.8,11,6,13.09,YE,1649926129
227,oleggio,45.6015,8.6434,68.36,52,0,4.61,IT,1649926129
228,fort nelson,58.8053,-122.7002,9.99,67,0,3.44,CA,1649926129
229,lambarene,-0.7001,10.2406,78.31,86,100,3.33,GA,1649926129
230,santa maria,-29.6842,-53.8069,51.98,86,55,2.08,BR,1649926102
231,bengkulu,-3.8004,102.2655,84.51,67,44,6.96,ID,1649926129
232,saint-philippe,-21.3585,55.7679,84.22,89,67,17.13,RE,1649926130
233,khani,41.9563,42.9566,45.97,40,36,4.74,GE,1649926130
234,cabedelo,-6.9811,-34.8339,74.07,85,95,4.23,BR,1649926130
235,massa marittima,43.049,10.8928,63.81,89,65,2.86,IT,1649926130
236,aloleng,16.1307,119.7824,84.22,64,60,12.37,PH,1649926130
237,hobyo,5.3505,48.5268,87.08,60,42,11.34,SO,1649926130
238,anito,12.4497,125.2886,79.56,85,90,5.3,PH,1649926130
239,klaksvik,62.2266,-6.589,45.52,86,88,23.8,FO,1649926130
240,natal,-5.795,-35.2094,75.42,100,40,4.61,BR,1649925915
241,saint anthony,45.0205,-93.218,30.15,64,100,24.16,US,1649926130
242,saldanha,-33.0117,17.9442,64.45,78,100,20.87,ZA,1649926131
243,guiren,33.6697,118.1889,61.66,54,100,11.86,CN,1649926132
244,constitucion,-35.3333,-72.4167,53.74,52,0,3.58,CL,1649926132
245,churapcha,62.0025,132.4325,30.36,82,100,6.49,RU,1649926132
246,kruisfontein,-34.0033,24.7314,67.89,65,93,14.7,ZA,1649926132
247,shimoda,34.6667,138.95,53.96,89,97,19.33,JP,1649926132
248,pacific grove,36.6177,-121.9166,52.43,75,20,4.61,US,1649926132
249,hambantota,6.1241,81.1185,89.94,74,40,10.36,LK,1649926132
250,antofagasta,-23.65,-70.4,58.28,83,16,3.62,CL,1649926015
251,mnogovershinnyy,53.9353,139.9242,19.99,85,10,3.94,RU,1649926116
252,orcopampa,-15.2661,-72.3417,44.15,40,25,1.68,PE,1649926133
253,vestmannaeyjar,63.4427,-20.2734,45.59,100,100,40.29,IS,1649926133
254,neiafu,-18.65,-173.9833,82.02,78,27,12.44,TO,1649926133
255,provideniya,64.3833,-173.3,31.32,98,100,8.75,RU,1649926133
256,meadville,41.6414,-80.1515,65.05,89,40,5.75,US,1649925890
257,maumere,-8.6199,122.2111,83.01,76,95,2.19,ID,1649926134
258,san quintin,30.4833,-115.95,56.14,76,57,10.85,MX,1649926134
259,vetapalem,15.7833,80.3167,90.68,55,8,12.26,IN,1649926134
260,lazaro cardenas,17.9583,-102.2,76.59,76,95,1.61,MX,1649926134
261,laguna,38.421,-121.4238,52.29,83,100,9.22,US,1649926134
262,spassk,52.747,87.7545,48.43,47,0,13.4,RU,1649926134
263,opuwo,-18.0607,13.84,76.8,48,0,2.19,NA,1649926134
264,chernyshkovskiy,48.4219,42.2308,45.19,88,100,15.35,RU,1649926135
265,vila velha,-20.3297,-40.2925,75.94,94,0,2.3,BR,1649926135
266,moshupa,-24.7782,25.4155,75.09,35,16,4.07,BW,1649926135
267,presidencia roque saenz pena,-26.7852,-60.4388,50.72,79,0,5.86,AR,1649926024
268,lima,-12.0432,-77.0282,61.05,88,75,4.61,PE,1649926032
269,coxim,-18.5067,-54.76,71.22,94,100,2.13,BR,1649926135
270,hnaberd,40.6372,44.1406,26.89,57,2,6.08,AM,1649926135
271,aswan,24.0934,32.907,88.16,10,75,11.16,EG,1649926135
272,erzin,36.9559,36.2,62.76,31,0,4.45,TR,1649926136
273,upernavik,72.7868,-56.1549,-15.54,100,93,4.63,GL,1649926136
274,sioux lookout,50.1001,-91.917,24.87,86,100,11.5,CA,1649926136
275,geraldton,-28.7667,114.6,77.41,61,0,20.71,AU,1649926136
276,ozinki,51.1786,49.6769,49.8,70,100,9.51,RU,1649925949
277,sola,-13.8833,167.55,83.43,71,1,11.05,VU,1649926136
278,palana,59.1167,159.9667,21.0,96,100,5.37,RU,1649926136
279,virginia beach,36.8529,-75.978,70.02,72,96,5.01,US,1649925960
280,beloha,-25.1667,45.05,90.61,39,97,4.68,MG,1649926137
281,tezu,27.9167,96.1667,69.71,94,98,4.47,IN,1649926137
282,shelburne,44.0787,-80.2041,59.45,98,100,15.23,CA,1649926137
283,axim,4.8699,-2.2405,84.43,72,78,10.76,GH,1649925907
284,marienburg,54.0359,19.0266,61.88,50,100,9.51,PL,1649926137
285,las lomas,8.4333,-82.4,76.26,80,44,3.56,PA,1649926137
286,grindavik,63.8424,-22.4338,46.87,93,100,34.52,IS,1649926137
287,abu kamal,34.4506,40.9171,68.58,16,100,13.13,SY,1649926137
288,quatre cocos,-20.2078,57.7625,83.08,80,34,20.85,MU,1649926137
289,chimoio,-19.1164,33.4833,78.66,83,40,9.22,MZ,1649926138
290,necochea,-38.5473,-58.7368,51.08,69,0,2.51,AR,1649926138
291,lompoc,34.6391,-120.4579,45.93,78,0,25.99,US,1649926138
292,lubumbashi,-11.6609,27.4794,75.36,71,64,6.02,CD,1649926138
293,camopi,3.1655,-52.3158,71.4,100,94,2.13,GF,1649926138
294,dikson,73.5069,80.5464,26.67,79,100,5.3,RU,1649926138
295,hualmay,-11.0964,-77.6139,65.16,87,92,7.36,PE,1649926138
296,riyadh,24.6877,46.7219,84.34,15,94,13.31,SA,1649925916
297,bowen,-20.0167,148.2333,78.71,66,12,21.14,AU,1649926139
298,clyde river,70.4692,-68.5914,-14.57,76,40,5.75,CA,1649926139
299,okhotsk,59.3833,143.3,24.66,79,14,7.34,RU,1649926139
300,nanortalik,60.1432,-45.2371,33.08,88,72,7.67,GL,1649926139
301,vanimo,-2.6741,141.3028,80.85,81,99,5.73,PG,1649926139
302,bambous virieux,-20.3428,57.7575,83.21,78,75,17.27,MU,1649926139
303,niamey,13.5137,2.1098,91.69,40,0,16.11,NE,1649926139
304,palu,-0.8917,119.8707,82.27,87,100,1.63,ID,1649926139
305,kathmandu,27.7167,85.3167,84.42,18,20,17.27,NP,1649926022
306,yar-sale,66.8333,70.8333,34.48,99,100,10.22,RU,1649926140
307,rangapara,26.8167,92.65,89.78,55,91,13.71,IN,1649926140
308,noumea,-22.2763,166.4572,76.98,79,8,6.22,NC,1649926140
309,kenai,60.5544,-151.2583,30.15,94,0,0.0,US,1649926108
310,durango,24.8333,-104.8333,52.43,24,48,4.52,MX,1649925904
311,nishihara,26.1842,127.7558,76.28,81,75,9.22,JP,1649926140
312,acari,-15.4311,-74.6158,65.97,81,48,2.82,PE,1649926140
313,grand-santi,4.25,-54.3833,71.71,100,98,1.9,GF,1649926140
314,ishcherskaya,43.7153,45.1264,56.64,47,41,12.71,RU,1649926141
315,boa vista,2.8197,-60.6733,76.98,78,0,9.22,BR,1649926141
316,lebu,-37.6167,-73.65,49.37,76,0,5.53,CL,1649926141
317,leh,34.1667,77.5833,45.66,34,80,5.82,IN,1649926141
318,guarapari,-20.6667,-40.4975,75.88,88,12,3.42,BR,1649926141
319,fare,-16.7,-151.0167,82.2,72,8,17.72,PF,1649926141
320,horodkivka,49.9068,28.9847,51.96,52,36,11.3,UA,1649926141
321,dayong,25.0209,118.2898,77.99,61,25,10.16,CN,1649926141
322,buala,-8.145,159.5921,81.23,79,27,7.7,SB,1649926142
323,magaria,12.9983,8.9099,94.37,32,69,14.12,NE,1649926142
324,flin flon,54.7682,-101.865,12.76,85,100,13.89,CA,1649926142
325,santa rosa,14.3122,121.1114,91.09,61,73,9.48,PH,1649926142
326,turbat,26.0023,63.044,107.22,4,21,7.36,PK,1649926142
327,abbeville,50.1,1.8333,60.49,75,3,3.71,FR,1649925902
328,uyemskiy,64.4743,40.8524,35.65,55,75,4.47,RU,1649926142
329,gedo,9.0167,37.45,75.11,31,41,4.12,ET,1649926142
330,east london,-33.0153,27.9116,68.94,83,40,8.05,ZA,1649926143
331,dalbandin,28.8947,64.4101,97.05,4,0,16.73,PK,1649926143
332,mitu,1.1983,-70.1733,72.09,97,100,2.75,CO,1649926143
333,katsuura,35.1333,140.3,55.08,90,100,21.32,JP,1649926143
334,eyemouth,55.8713,-2.0901,47.82,85,100,6.64,GB,1649926143
335,orzu,37.5593,68.8184,86.4,21,0,3.24,TJ,1649926143
336,margate,51.3813,1.3862,58.87,75,34,4.43,GB,1649926143
337,tynda,55.1667,124.7167,32.81,73,100,8.46,RU,1649926144
338,vetluga,57.8557,45.781,38.12,82,100,7.81,RU,1649926144
339,tessalit,20.1986,1.0114,89.89,7,1,10.89,ML,1649926144
340,coahuayana,18.7333,-103.6833,70.88,84,100,1.72,MX,1649926144
341,tagusao,9.1924,117.8141,81.34,79,85,7.81,PH,1649926144
342,maracanau,-3.8767,-38.6256,76.66,94,20,1.14,BR,1649926144
343,inyonga,-6.7167,32.0667,79.21,59,58,7.05,TZ,1649926145
344,merauke,-8.4667,140.3333,82.04,82,96,11.74,ID,1649926145
345,nago,26.5881,127.9761,76.05,77,47,1.1,JP,1649926145
346,homer,59.6425,-151.5483,36.81,76,0,5.01,US,1649926145
347,port blair,11.6667,92.75,91.44,55,20,5.75,IN,1649926145
348,tromso,69.6496,18.957,35.62,87,75,11.5,NO,1649926145
349,paragominas,-2.9667,-47.4833,71.89,99,100,2.19,BR,1649926145
350,mecca,21.4267,39.8261,99.05,19,4,14.27,SA,1649925920
351,senanga,-16.1167,23.2667,82.6,49,98,3.47,ZM,1649925884
352,pangody,65.85,74.4859,34.45,100,100,12.73,RU,1649926146
353,pathein,16.7833,94.7333,93.45,44,13,15.46,MM,1649926146
354,cherskiy,68.75,161.3,13.24,93,100,6.46,RU,1649926146
355,norman wells,65.282,-126.8329,19.44,86,100,9.22,CA,1649926146
356,kavaratti,10.5669,72.642,80.56,81,100,12.26,IN,1649926146
357,laukaa,58.7372,29.8453,45.28,65,100,3.56,RU,1649926146
358,lubao,14.9167,120.55,92.91,49,66,11.74,PH,1649926146
359,broome,42.2506,-75.833,64.78,80,0,5.75,US,1649926147
360,puri,19.8,85.85,99.12,74,39,22.44,IN,1649926147
361,neutraubling,48.9833,12.2,64.49,55,88,0.45,DE,1649926147
362,maceio,-9.6658,-35.7353,72.84,88,0,4.61,BR,1649926004
363,panguna,-6.3164,155.4848,68.88,95,73,3.67,PG,1649926147
364,xacmaz,41.4635,48.806,52.92,65,74,8.61,AZ,1649926147
365,matay,28.419,30.7792,77.59,20,0,18.41,EG,1649926147
366,dalby,-27.1833,151.2667,67.98,59,70,1.01,AU,1649926148
367,batagay-alyta,67.8006,130.4114,16.2,92,100,3.76,RU,1649926148
368,batemans bay,-35.7167,150.1833,67.1,90,0,4.61,AU,1649926148
369,skowhegan,44.7651,-69.7192,45.16,98,100,2.75,US,1649926044
370,karatau,43.1667,70.4667,73.53,33,1,8.66,KZ,1649926148
